   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/ressat-full.xml
name:                    ressat-full
run sets:                minimize-BDD.RandomExist, bare-BDD.RandomExist, minimize-Cachet.RandomExist, bare-Cachet.RandomExist
date:                    Thu, 2021-01-28 17:40:12 CST
tool:                    ABC
tool executable:         bin/abc
options:                 
parallel runs:           12
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-0A
os:                      Linux-5.4.0-26-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-2630 0 @ 2.30GHz
- cores:                 24
- max frequency:         2800.0 MHz
- turbo boost enabled:   False
ram:                     219679.203328 MB
------------------------------------------------------------



minimize-BDD.RandomExist
Run set 1 of 4 with options '-c ssat -vt' and propertyfile 'None'

inputfile                              status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------
re-PEC/c1355_re.sdimacs                TIMEOUT                       1001.03     1001.06        None
re-PEC/c1908_re.sdimacs                TIMEOUT                       1001.17     1001.16        None
re-PEC/c3540_re.sdimacs                done                            21.83       21.83        None
re-PEC/c432_re.sdimacs                 TIMEOUT                       1001.16     1001.14        None
re-PEC/c499_re.sdimacs                 done                             0.09        0.16        None
re-PEC/c5315_re.sdimacs                TIMEOUT                       1001.19     1001.16        None
re-PEC/c7552_re.sdimacs                TIMEOUT                       1001.36     1001.21        None
re-PEC/c880_re.sdimacs                 TIMEOUT                       1001.12     1001.10        None
re-strategic-company/x10.14.sdimacs    done                             0.05        0.05        None
re-strategic-company/x10.19.sdimacs    done                             0.09        0.09        None
re-strategic-company/x10.4.sdimacs     done                             0.05        0.05        None
re-strategic-company/x10.9.sdimacs     done                             0.09        0.09        None
re-strategic-company/x15.14.sdimacs    done                             0.10        0.11        None
re-strategic-company/x15.19.sdimacs    done                             0.06        0.06        None
re-strategic-company/x15.4.sdimacs     done                             0.10        0.11        None
re-strategic-company/x15.9.sdimacs     done                             0.10        0.10        None
re-strategic-company/x20.14.sdimacs    done                             0.06        0.06        None
re-strategic-company/x20.19.sdimacs    done                             0.07        0.07        None
re-strategic-company/x20.4.sdimacs     done                             0.12        0.12        None
re-strategic-company/x20.9.sdimacs     done                             0.07        0.07        None
re-strategic-company/x25.14.sdimacs    done                             0.09        0.09        None
re-strategic-company/x25.19.sdimacs    done                             0.16        0.16        None
re-strategic-company/x25.4.sdimacs     done                             0.16        0.16        None
re-strategic-company/x25.9.sdimacs     done                             0.16        0.16        None
re-strategic-company/x30.14.sdimacs    done                             0.18        0.18        None
re-strategic-company/x30.19.sdimacs    done                             0.10        0.10        None
re-strategic-company/x30.4.sdimacs     done                             0.10        0.11        None
re-strategic-company/x30.9.sdimacs     done                             0.21        0.21        None
re-strategic-company/x35.14.sdimacs    done                             0.12        0.13        None
re-strategic-company/x35.19.sdimacs    done                             0.34        0.34        None
re-strategic-company/x35.4.sdimacs     done                             0.17        0.18        None
re-strategic-company/x35.9.sdimacs     done                             0.30        0.30        None
re-strategic-company/x40.14.sdimacs    done                             0.28        0.28        None
