tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	DC-SSAT 	DC-SSAT 	DC-SSAT 	DC-SSAT 
run set	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	dcssat-full.default	dcssat-full.default	dcssat-full.default	dcssat-full.default
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-MaxCount/QIF-reverse.sdimacs	TIMEOUT (ERROR (1))	901.006676769	902.2517686090432	43.798528	TIMEOUT (ERROR (1))	900.982588205	901.0452094948851	320.372736	TIMEOUT (ABORTED)	900.995444222	901.2555123320781	43.855872	TIMEOUT (ERROR (1))	901.006710071	901.0086637847126	50.905088	TIMEOUT (ERROR (1))	900.997715282	901.0148610686883	50.966528	OUT OF MEMORY	228.071016466	228.08249288797379	8000.000000
ere-MaxCount/QIF-reverse2.sdimacs	TIMEOUT (ERROR (1))	901.008060284	902.3799425279722	40.157184	TIMEOUT (ERROR (1))	901.016837603	901.0431083897129	334.610432	TIMEOUT (ERROR (1))	900.970604246	901.0067242868245	40.136704	TIMEOUT (ERROR (1))	900.966176577	901.007603357546	48.373760	TIMEOUT (ERROR (1))	900.99470202	901.012123666238	48.492544	OUT OF MEMORY	240.214674217	240.22988185379654	8000.000000
ere-MaxCount/SyGuS-ActivityService.sdimacs	TIMEOUT (ERROR (1))	900.526336942	901.0201824530959	205.283328	TIMEOUT (ERROR (1))	901.014627638	901.0211300379597	196.198400	TIMEOUT (ERROR (1))	901.011140253	901.0222840788774	205.926400	TIMEOUT (ERROR (1))	901.022683399	901.0239952793345	205.283328	TIMEOUT (ERROR (1))	900.993176536	901.0203090477735	197.181440	TIMEOUT	901.366070985	901.4242512956262	7563.866112
ere-MaxCount/SyGuS-ActivityService2.sdimacs	TIMEOUT (ERROR (1))	901.021311214	904.6419007629156	205.340672	TIMEOUT (ERROR (1))	901.002982967	901.0214726836421	196.198400	TIMEOUT (ERROR (1))	901.004746023	901.0220423187129	206.004224	TIMEOUT (ERROR (1))	900.988245787	901.0230387626216	205.283328	TIMEOUT (ERROR (1))	901.018025888	901.0184068628587	197.177344	TIMEOUT	901.422461793	901.4468820858747	7494.619136
ere-MaxCount/SyGuS-ConcreteActivityService.sdimacs	TIMEOUT (ERROR (1))	900.858048565	908.0775093357079	202.260480	TIMEOUT (ABORTED)	901.008778942	901.4076327509247	245.293056	TIMEOUT (ERROR (1))	901.025057616	901.0187301337719	203.194368	TIMEOUT (ERROR (1))	901.019990911	901.022639256902	202.260480	TIMEOUT (ABORTED)	900.966438137	901.2526620519347	248.274944	OUT OF MEMORY	732.022660938	732.0391870746389	8000.000000
ere-MaxCount/SyGuS-GuidanceService.sdimacs	TIMEOUT (ERROR (1))	900.931480056	903.8613350330852	285.761536	TIMEOUT (ERROR (1))	901.022705917	901.0237156483345	248.406016	TIMEOUT (ERROR (1))	900.97985541	901.0288415588439	286.285824	TIMEOUT (ERROR (1))	901.003388193	901.0272660553455	285.761536	TIMEOUT (ERROR (1))	901.009480582	901.0217700190842	249.192448	OUT OF MEMORY	863.719154522	863.7473762510344	8000.000000
ere-MaxCount/SyGuS-GuidanceService2.sdimacs	TIMEOUT (ERROR (1))	900.788742393	901.0266610919498	285.761536	TIMEOUT (ERROR (1))	901.001489172	901.0236956761219	248.406016	TIMEOUT (ERROR (1))	901.023681819	901.0253922599368	286.285824	TIMEOUT (ERROR (1))	900.961418829	901.0267039360479	285.761536	TIMEOUT (ERROR (1))	901.026144998	901.0277804411016	249.192448	OUT OF MEMORY	859.132463731	859.1544000217691	8000.000000
ere-MaxCount/SyGuS-IssueServiceImpl.sdimacs	TIMEOUT (ERROR (1))	900.875979772	901.0227125999518	239.837184	TIMEOUT (ERROR (1))	901.021703655	901.0190346669406	190.316544	TIMEOUT (ABORTED)	900.955877541	901.425271444954	240.517120	TIMEOUT (ERROR (1))	901.01490883	901.0232826536521	239.865856	TIMEOUT (ERROR (1))	900.999505354	901.0181883429177	191.238144	OUT OF MEMORY	833.051035508	833.0632489919662	8000.000000
ere-MaxCount/SyGuS-IterationService.sdimacs	TIMEOUT (ERROR (1))	901.019846511	903.7539101587608	205.279232	TIMEOUT (ERROR (1))	900.997120411	901.020419716835	196.239360	TIMEOUT (ERROR (1))	901.022599903	901.0210467982106	206.065664	TIMEOUT (ERROR (1))	901.025445457	901.0218344097957	205.283328	TIMEOUT (ERROR (1))	901.0076345	901.0213518030941	197.185536	TIMEOUT	901.433907882	901.4554874561727	7408.046080
ere-MaxCount/SyGuS-LoginService.sdimacs	TIMEOUT (ABORTED)	900.575523679	901.4401776059531	250.949632	TIMEOUT (ABORTED)	901.028063372	901.3464393080212	288.960512	TIMEOUT (ERROR (1))	901.011007661	901.0290983580053	252.002304	TIMEOUT (ERROR (1))	901.010551321	901.0229496890679	250.949632	TIMEOUT (ERROR (1))	901.001606876	901.0298452661373	290.349056	TIMEOUT	901.341256967	901.3694738093764	5736.488960
