   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/dissertation/dcssat-ppe.xml
name:                    dcssat-ppe
run sets:                default
date:                    Fri, 2021-04-16 21:03:16 CST
tool:                    DC-SSAT
tool executable:         bin/dcssat
options:                 
parallel runs:           8
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-PowerEdge-T440
os:                      Linux-5.4.0-58-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon Silver 4210 CPU @ 2.20GHz
- cores:                 40
- max frequency:         3200.0 MHz
- turbo boost enabled:   False
ram:                     134616.424448 MB
------------------------------------------------------------



default
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                          status                       cpu time   wall time        host
E-0.125-D-0.01/c1908.bench/ere-c1908-0.125-0.01.sdimacs            TIMEOUT                        901.10      901.12        None
E-0.125-D-0.01/c2670.bench/ere-c2670-0.125-0.01.sdimacs            OUT OF MEMORY                  550.07      550.09        None
E-0.125-D-0.01/c3540.bench/ere-c3540-0.125-0.01.sdimacs            OUT OF MEMORY                  508.54      508.55        None
E-0.125-D-0.01/c432.bench/ere-c432-0.125-0.01.sdimacs              OUT OF MEMORY                  518.99      519.00        None
E-0.125-D-0.01/c499.bench/ere-c499-0.125-0.01.sdimacs              OUT OF MEMORY                  533.27      533.31        None
E-0.125-D-0.01/c5315.bench/ere-c5315-0.125-0.01.sdimacs            OUT OF MEMORY                  480.17      480.21        None
E-0.125-D-0.01/c6288.bench/ere-c6288-0.125-0.01.sdimacs            OUT OF MEMORY                  670.31      670.33        None
E-0.125-D-0.01/c7552.bench/ere-c7552-0.125-0.01.sdimacs            OUT OF MEMORY                  854.43      854.44        None
E-0.125-D-0.01/c880.bench/ere-c880-0.125-0.01.sdimacs              OUT OF MEMORY                  412.21      412.22        None
E-0.125-D-0.01/cavlc.aig/ere-cavlc-0.125-0.01.sdimacs              done                             0.05        0.06        None
E-0.125-D-0.01/ctrl.aig/ere-ctrl-0.125-0.01.sdimacs                done                             0.01        0.01        None
E-0.125-D-0.01/dec.aig/ere-dec-0.125-0.01.sdimacs                  done                             0.01        0.01        None
E-0.125-D-0.01/div.aig/ere-div-0.125-0.01.sdimacs                  SEGMENTATION FAULT               2.71        2.89        None
E-0.125-D-0.01/hyp.aig/ere-hyp-0.125-0.01.sdimacs                  SEGMENTATION FAULT               8.68        8.86        None
E-0.125-D-0.01/i2c.aig/ere-i2c-0.125-0.01.sdimacs                  OUT OF MEMORY                  400.91      400.92        None
E-0.125-D-0.01/int2float.aig/ere-int2float-0.125-0.01.sdimacs      done                             0.01        0.01        None
E-0.125-D-0.01/log2.aig/ere-log2-0.125-0.01.sdimacs                SEGMENTATION FAULT               1.33        1.51        None
E-0.125-D-0.01/max.aig/ere-max-0.125-0.01.sdimacs                  TIMEOUT                        901.70      901.73        None
E-0.125-D-0.01/mem_ctrl.aig/ere-mem_ctrl-0.125-0.01.sdimacs        SEGMENTATION FAULT               2.18        2.36        None
