tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-ToiletA/toilet_a_06_01.12.sdimacs	done	45.985063265	45.98885830515064	211.726336	TIMEOUT (ERROR (1))	900.988625804	905.0491343517788	55.640064
ere-ToiletA/toilet_a_06_01.2.sdimacs	done	0.087393769	0.08863555709831417	17.195008	done	0.08208366	0.0842322027310729	45.924352
ere-ToiletA/toilet_a_06_01.3.sdimacs	done	0.20126343	0.20249101286754012	21.127168	done	0.59827535	0.6009270162321627	46.415872
ere-ToiletA/toilet_a_06_01.4.sdimacs	done	1.217560953	1.2194001160096377	31.481856	done	10.065286418	10.10054114786908	46.694400
ere-ToiletA/toilet_a_06_01.5.sdimacs	done	4.817170128	4.81851295218803	49.487872	done	28.00825194	28.09099650103599	46.792704
ere-ToiletA/toilet_a_06_01.6.sdimacs	done	13.958646196	13.960497166961432	115.892224	done	79.536233012	79.78563465503976	47.169536
ere-ToiletA/toilet_a_06_01.7.sdimacs	done	56.755918517	56.75932419905439	287.801344	done	178.546786859	179.1204358646646	47.767552
ere-ToiletA/toilet_a_06_01.8.sdimacs	done	117.614773503	117.63070856919512	380.571648	done	490.990631223	492.5226335590705	49.750016
ere-ToiletA/toilet_a_06_01.9.sdimacs	TIMEOUT (ERROR (1))	901.116364772	901.1379689311143	1192.308736	TIMEOUT (ERROR (1))	900.991631377	904.3725074222311	54.063104
ere-ToiletA/toilet_a_06_05.2.sdimacs	done	153.356349415	153.363936587004	463.556608	done	0.084858624	0.08659705566242337	46.178304
ere-ToiletA/toilet_a_06_05.3.sdimacs	TIMEOUT (ERROR (1))	901.105980071	901.1271983580664	1198.243840	done	2.651373266	2.6672406741417944	46.768128
ere-ToiletA/toilet_a_06_05.4.sdimacs	done	541.507344632	541.5276447338983	923.635712	TIMEOUT (ERROR (1))	901.00071216	904.0998951559886	54.624256
ere-ToiletA/toilet_a_06_10.2.sdimacs	done	0.073263159	0.07453115493990481	17.027072	done	0.100721055	0.10363390482962132	46.411776
ere-ToiletA/toilet_a_08_01.10.sdimacs	TIMEOUT (ERROR (1))	901.220596629	901.2538767228834	2676.199424	TIMEOUT (ERROR (1))	901.0039583	902.5272534592077	53.141504
ere-ToiletA/toilet_a_08_01.11.sdimacs	TIMEOUT (ERROR (1))	901.217734526	901.2387553029694	2439.565312	TIMEOUT (ERROR (1))	901.002112411	902.6595368059352	52.297728
ere-ToiletA/toilet_a_08_01.12.sdimacs	TIMEOUT (ERROR (1))	901.140306907	901.2493885119911	2410.082304	TIMEOUT (ERROR (1))	901.005242793	902.7216108758003	52.240384
