tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	DC-SSAT 	DC-SSAT 	DC-SSAT 	DC-SSAT 
run set	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-Cachet.ExistRandomExist	erssat-full.bare-Cachet.ExistRandomExist	erssat-full.bare-Cachet.ExistRandomExist	erssat-full.bare-Cachet.ExistRandomExist	dcssat-full.default	dcssat-full.default	dcssat-full.default	dcssat-full.default
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-ToiletA/toilet_a_04_01.3.sdimacs	done	0.074262402	0.07537353876978159	15.888384	done	0.589551966	0.5922099789604545	46.186496	done	0.008679922	0.009583366103470325	2.084864
ere-ToiletA/toilet_a_04_01.4.sdimacs	done	0.119094321	0.12032057670876384	17.850368	done	1.596703828	1.6022215420380235	46.194688	done	0.010813369	0.012086651287972927	2.609152
ere-ToiletA/toilet_a_04_01.5.sdimacs	done	0.358131058	0.3600385212339461	19.808256	done	4.307795361	4.321217551827431	46.219264	done	0.014792392	0.016144324094057083	3.133440
ere-ToiletA/toilet_a_04_01.6.sdimacs	done	1.799276151	1.871573043987155	25.628672	done	11.220334579	11.243257287889719	46.325760	done	0.024807473	0.026447423733770847	3.919872
ere-ToiletA/toilet_a_04_01.7.sdimacs	done	4.667235007	4.6712483377195895	34.959360	done	28.433113419	28.53519275225699	46.292992	done	0.044897236	0.04611948970705271	5.099520
ere-ToiletA/toilet_a_04_01.8.sdimacs	done	1.439671533	1.4409915343858302	27.332608	done	69.676981856	69.90638111624867	46.616576	done	0.093374688	0.0946063008159399	7.196672
ere-ToiletA/toilet_a_04_05.2.sdimacs	done	0.07791303	0.07911810465157032	15.888384	done	0.092078821	0.09478349797427654	45.805568	done	0.012755018	0.013906314969062805	4.186112
ere-ToiletA/toilet_a_04_10.2.sdimacs	done	0.074018841	0.07627103012055159	15.626240	done	0.092050959	0.09417330473661423	45.801472	done	0.022099256	0.023388950154185295	8.900608
ere-ToiletA/toilet_a_06_01.10.sdimacs	TIMEOUT (ERROR (1))	900.25979772	901.2008136357181	850.292736	TIMEOUT (ERROR (1))	900.99670541	904.3183719366789	54.087680	done	28.867578089	28.86965407524258	230.019072
ere-ToiletA/toilet_a_06_01.11.sdimacs	TIMEOUT (ERROR (1))	900.350904742	901.1656631953083	849.121280	TIMEOUT (ERROR (1))	900.995238339	904.3229260621592	54.599680	done	74.249899426	74.25141154322773	606.720000
ere-ToiletA/toilet_a_06_01.12.sdimacs	done	376.844982099	380.9533316013403	587.771904	TIMEOUT (ERROR (1))	900.988982465	904.8749469695613	61.644800	done	174.156629994	174.16186882555485	1598.140416
ere-ToiletA/toilet_a_06_01.2.sdimacs	done	0.127458654	0.13178701745346189	16.805888	done	0.094381052	0.09673971589654684	45.940736	done	0.025416057	0.027028460055589676	5.099520
ere-ToiletA/toilet_a_06_01.3.sdimacs	done	0.250812681	0.2520723189227283	19.951616	done	0.917059309	0.9233919195830822	46.305280	done	0.036177722	0.037304763682186604	5.754880
