tool	DC-SSAT 	DC-SSAT 	DC-SSAT 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	dcssat-er.default.Application	dcssat-er.default.Application	dcssat-er.default.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application
test-cases/benchmarks/	status	cputime (s)	sat. prob.	status	cputime (s)	sat. prob.	LB	T-LB	status	cputime (s)	sat. prob.	LB	T-LB
ere-MPEC/ere-c1355-0.125-0.10.sdimacs	OUT OF MEMORY	632.527373814		TIMEOUT (ERROR (1))	900.997463682		0.000000	0.00	TIMEOUT (ABORTED)	901.014016725			
ere-MPEC/ere-c1908-0.125-0.01.sdimacs	done	48.041666906	0.413818	TIMEOUT (ERROR (1))	901.084836635		0.3181152	587.05	TIMEOUT (ERROR (1))	901.037734801		0.4138184	22.27
ere-MPEC/ere-c1908-0.125-0.10.sdimacs	OUT OF MEMORY	645.1728231		TIMEOUT (ERROR (1))	900.992945076		0.000000	0.00	TIMEOUT (ABORTED)	901.010548007			
ere-MPEC/ere-c2670-0.125-0.01.sdimacs	OUT OF MEMORY	400.912114249		TIMEOUT (ERROR (1))	901.097088847		0.4870911	146.46	TIMEOUT (ERROR (1))	901.150663418		0.5512047	5.74
ere-MPEC/ere-c2670-0.125-0.10.sdimacs	OUT OF MEMORY	467.875997331		TIMEOUT (ERROR (1))	901.002722956		0.000000	0.00	TIMEOUT (ERROR (1))	900.934466287		0.000000	0.00
ere-MPEC/ere-c3540-0.125-0.01.sdimacs	TIMEOUT	901.01373079		TIMEOUT (ABORTED)	901.075105518				TIMEOUT (ERROR (1))	901.057294879		0.5512047	72.00
ere-MPEC/ere-c3540-0.125-0.10.sdimacs	OUT OF MEMORY	605.498278828		TIMEOUT (ERROR (1))	901.002559443		0.000000	0.00	TIMEOUT (ERROR (1))	900.998241134		0.000000	0.00
ere-MPEC/ere-c432-0.125-0.01.sdimacs	OUT OF MEMORY	560.497477984		TIMEOUT (ERROR (1))	901.042820727		0.2343750	141.33	TIMEOUT (ERROR (1))	901.098095513		0.2343750	2.91
ere-MPEC/ere-c432-0.125-0.10.sdimacs	OUT OF MEMORY	289.479179573		TIMEOUT (ERROR (1))	901.003817271		0.000000	0.00	TIMEOUT (ERROR (1))	900.995221728		0.000000	0.00
ere-MPEC/ere-c499-0.125-0.01.sdimacs	OUT OF MEMORY	347.823206414		TIMEOUT (ERROR (1))	900.938847725		0.4138184	33.32	TIMEOUT (ERROR (1))	901.040143093		0.4138184	0.38
ere-MPEC/ere-c499-0.125-0.10.sdimacs	OUT OF MEMORY	642.621839625		TIMEOUT (ERROR (1))	901.010137617		0.000000	0.00	TIMEOUT (ERROR (1))	900.99872996		0.000000	0.00
ere-MPEC/ere-c5315-0.125-0.01.sdimacs	OUT OF MEMORY	392.409354023		TIMEOUT (ERROR (1))	901.008142033		0.000000	0.00	TIMEOUT (ERROR (1))	901.005227573		0.000000	0.00
ere-MPEC/ere-c5315-0.125-0.10.sdimacs	OUT OF MEMORY	548.214361285		TIMEOUT (ERROR (1))	901.020428459		0.000000	0.00	TIMEOUT (ERROR (1))	900.940715817		0.000000	0.00
ere-MPEC/ere-c6288-0.125-0.01.sdimacs	OUT OF MEMORY	809.805131196		TIMEOUT (ABORTED)	901.040449951				TIMEOUT (ABORTED)	901.023626656			
ere-MPEC/ere-c6288-0.125-0.10.sdimacs	TIMEOUT	901.628526643		TIMEOUT (ERROR (1))	901.036727265		0.000000	0.00	TIMEOUT (ERROR (1))	901.02796345		0.000000	0.00
ere-MPEC/ere-c7552-0.125-0.01.sdimacs	OUT OF MEMORY	642.701393604		TIMEOUT (ERROR (1))	900.946399986		0.000000	0.00	TIMEOUT (ERROR (1))	900.997083525		0.000000	0.00
ere-MPEC/ere-c7552-0.125-0.10.sdimacs	OUT OF MEMORY	694.167124341		TIMEOUT (ERROR (1))	901.004055382		0.000000	0.00	TIMEOUT (ERROR (1))	901.003055513		0.000000	0.00
ere-MPEC/ere-c880-0.125-0.01.sdimacs	TIMEOUT	901.565308947		TIMEOUT (ERROR (1))	901.046483381		0.3300781	4.14	TIMEOUT (ERROR (1))	900.982595018		0.3300781	6.17
ere-MPEC/ere-c880-0.125-0.10.sdimacs	OUT OF MEMORY	340.297814381		TIMEOUT (ERROR (1))	900.997394699		0.000000	0.00	TIMEOUT (ERROR (1))	900.991875786		0.000000	0.00
ere-MPEC/ere-cavlc-0.125-0.01.sdimacs	done	0.149242275	0.542046	TIMEOUT (ERROR (1))	901.005394681		0.000000	0.00	TIMEOUT (ABORTED)	901.011448328			
ere-MPEC/ere-cavlc-0.125-0.10.sdimacs	OUT OF MEMORY	389.140766441		TIMEOUT (ABORTED)	901.016758454				TIMEOUT (ERROR (1))	900.948305324		0.000000	0.00
ere-MPEC/ere-ctrl-0.125-0.01.sdimacs	done	0.008874498	0.234375	done	0.07007052	0.2343750			done	0.089835152	0.2343750		
ere-MPEC/ere-ctrl-0.125-0.10.sdimacs	done	0.057695097	0.865066	TIMEOUT (ERROR (1))	901.002564049		0.000000	0.00	TIMEOUT (ERROR (1))	900.995676974		0.000000	0.00
ere-MPEC/ere-dec-0.125-0.01.sdimacs	done	0.008502155	0.656391	done	0.042767239	0.6563911			done	0.045759341	0.6563911		
ere-MPEC/ere-dec-0.125-0.10.sdimacs	done	180.506030327	0.987803	TIMEOUT (ERROR (1))	901.007561295		0.000000	0.00	TIMEOUT (ERROR (1))	901.00728453		0.000000	0.00
ere-MPEC/ere-div-0.125-0.01.sdimacs	SEGMENTATION FAULT	1.988492782		SEGMENTATION FAULT	536.421855085				SEGMENTATION FAULT	3.6069778			
ere-MPEC/ere-div-0.125-0.10.sdimacs	SEGMENTATION FAULT	2.413594354		TIMEOUT (ERROR (1))	901.060540944		0.000000	0.00	SEGMENTATION FAULT	1.346481552			
ere-MPEC/ere-hyp-0.125-0.01.sdimacs	SEGMENTATION FAULT	8.366647234		TIMEOUT (ERROR (1))	901.163967063		0.000000	0.00	SEGMENTATION FAULT	39.078156975			
ere-MPEC/ere-hyp-0.125-0.10.sdimacs	SEGMENTATION FAULT	10.716679008		TIMEOUT (ERROR (1))	901.220967602		0.000000	0.00	SEGMENTATION FAULT	10.208043836			
ere-MPEC/ere-i2c-0.125-0.01.sdimacs	OUT OF MEMORY	359.905735829		TIMEOUT (ABORTED)	900.986166095				TIMEOUT (ERROR (1))	901.003529893		0.7208177	175.38
ere-MPEC/ere-i2c-0.125-0.10.sdimacs	OUT OF MEMORY	525.841175248		TIMEOUT (ERROR (1))	900.990306331		0.000000	0.00	TIMEOUT (ERROR (1))	900.91523719		0.000000	0.00
ere-MPEC/ere-int2float-0.125-0.01.sdimacs	done	0.011683287	0.234375	done	1.307777016	0.2343750			done	0.44489717	0.2343750		
ere-MPEC/ere-int2float-0.125-0.10.sdimacs	done	4.219328006	0.901323	TIMEOUT (ERROR (1))	900.994872515		0.000000	0.00	TIMEOUT (ERROR (1))	901.003011952		0.000000	0.00
ere-MPEC/ere-log2-0.125-0.01.sdimacs	SEGMENTATION FAULT	1.278391735		SEGMENTATION FAULT	278.483075837				SEGMENTATION FAULT	1.118307498			
ere-MPEC/ere-log2-0.125-0.10.sdimacs	SEGMENTATION FAULT	5.200280067		SEGMENTATION FAULT	395.951659332				SEGMENTATION FAULT	0.95018912			
ere-MPEC/ere-max-0.125-0.01.sdimacs	TIMEOUT	901.147235893		TIMEOUT (ERROR (1))	901.005810833		0.000000	0.00	TIMEOUT (ERROR (1))	901.01440529		0.000000	0.00
ere-MPEC/ere-max-0.125-0.10.sdimacs	OUT OF MEMORY	880.924295082		TIMEOUT (ABORTED)	901.011872597				TIMEOUT (ABORTED)	901.018108133			
